Question ID,Section,Question,Answer Options
"annual-revenue","Curiosity","What's your current annual revenue?","Under $2 million
$2 million – $5 million
$5 million – $8 million
$8 million – $10 million
Over $10 million"
"financial-goals","Curiosity","When you think about financial goals, which one best describes your top priority right now?","Increase total revenue
Grow net profit
Reduce cost of goods sold (COGS)
Invest in new equipment or infrastructure
Boost marketing or sales spending"
"team-size","Curiosity","How many dedicated sales reps do you have (not including office staff or installers)?","1–4
5–8
9–12
13–16
17 or more"
"org-structure","Curiosity","How would you describe your current org structure?","Clear and defined – we've got roles, titles, and accountability
Functional but informal – we know who does what, more or less
Pretty loose – everyone just jumps in and gets stuff done
What is an org structure?"
"sop-status","Curiosity","Are your Standard Operating Procedures (SOPs) documented and followed?","Yes – we're a well-oiled SOP machine
Kind of – we have them, but people don't always follow them
Not really – we rely more on experience than documented processes
What's an SOP?"
"biggest-challenge","Curiosity","What's the single biggest challenge you're facing in your business right now?","[Open text response]"
"lead-sources","Capture","What percentage of your leads come from the following sources?","Google LSA (Local Service Ads)
Google PPC (Pay-Per-Click)
SEO (Organic traffic)
Facebook / Instagram Ads
Referrals / Repeat Customers
Door-to-Door / Canvassing
Lead aggregators (HomeAdvisor, Angi, etc.)
TV / Radio / Yard signs / Wraps
Other"
"lead-response","Capture","How fast do you typically respond to new leads (calls, forms, messages)?","Within 5 minutes
Within 15 minutes
Within an hour
Same day
It varies a lot"
"marketing-responsibility","Capture","Who's responsible for marketing in your company?","Full-time internal marketing person/team
A leader (not owner) handles it part-time
Outsourced to an agency or freelancer
Owner wears that hat too
No one owns it consistently right now"
"lead-intake","Capture","Do you have a lead intake process that's followed every time?","Yes – it's documented and followed
Mostly followed
Somewhat – there's a process, but not always followed
Not really – it depends who answers the phone or gets the lead"
"content-creation","Capture","Are you consistently creating and posting video or social media content?","Yes – we post regularly and intentionally
Sometimes – when we remember or have something cool
Rarely – it's not a focus
Never – not doing any content right now"
"marketing-spend","Capture","What's your average monthly marketing spend?","Under $2,000
$2,000–$5,000
$5,000–$10,000
$10,000–$20,000
Over $20,000
Not sure"
"marketing-improvement","Capture","What is one change to your marketing strategy that would have the greatest impact on your business?","[Open text response]"
"sales-process","Convert","Do you have a clearly defined sales process—and is it followed?","Yes – it's written out and consistently followed
We have one, but it's not always used
Kind of – it's more of a general approach than a real process
No – every rep does it their own way"
"sales-kpis","Convert","Do you have set sales KPIs (key performance indicators) that your team is held accountable to?","Yes – we track KPIs weekly and reps are coached on them
We have KPIs that are tracked, we do not coach on them weekly
We have targets, but no consistent follow-up or accountability
We don't have any specific KPIs in place"
"closing-rate","Convert","What's your current sales closing rate—and how confident are you in that number?","Under 20% – and we track it closely
20–40% – and we track it closely
40–60% – and we track it closely
Over 60% – and we track it closely
We think under 20%
We think around 20-40%
We think around 40-60%
We think over 60%
I'm not totally sure – we don't track it consistently"
"sales-team-size","Convert","How big is your sales team (where the rep is only responsible for Sales)","1 (just the owner or one salesperson)
2–3 reps
4–6 reps
7 or more"
"sales-leadership","Convert","Do you have a dedicated sales leader, and what role do they play?","Yes – full-time leader/manager, doesn't sell
Yes – player/coach, manages and still sells
Kind of – someone oversees the team part-time
No – the team reports directly to the owner/GM"
